epoch,accuracy,loss
1.0,0.6835443037974683,0.6146654884020487
2.0,0.6835443037974683,0.590168277422587
3.0,0.6835443037974683,0.5478088657061259
4.0,0.7088607594936709,0.5180766880512238
5.0,0.5189873417721519,0.6491639415423075
6.0,0.9620253164556962,0.3481532831986745
7.0,0.6962025316455697,0.5981877446174622
8.0,0.6835443037974683,1.0059560934702556
9.0,0.9810126582278481,0.19253658254941305
10.0,0.9810126582278481,0.2163048287232717
11.0,0.9873417721518988,0.13523026804129282
12.0,0.9430379746835443,0.24546642104784647
13.0,0.9873417721518988,0.12203257158398628
14.0,0.9873417721518988,0.11958931138118108
15.0,0.9873417721518988,0.12598022321859995
16.0,0.9873417721518988,0.12990066905816397
17.0,0.9873417721518988,0.12992639280855656
18.0,0.9873417721518988,0.1335669873903195
19.0,0.9873417721518988,0.13764170339951912
20.0,0.9873417721518988,0.13391667852799097
